pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,
9.4,2,12.2,0.1,1,1,17.04078071,1.15E-27,,,,,,,,
9.3,2,12.2,0.1,1,1,16.97783354,2.93E-31,,,,,,,,
9.2,2,12.2,0.1,1,1,16.9149813,7.90E-22,,,,,,,,
9.5,2,12.1,0.1,1,1,17.05685772,-5.91E-28,,,,,,,,
9.4,2,12.1,0.1,1,1,16.99308563,2.82E-30,,,,,,,,
9.3,2,12.1,0.1,1,1,16.9293811,5.37E-28,,,,,,,,
9.6,2,12,0.1,1,1,17.07558278,-8.88E-28,,,,,,,,
9.5,2,12,0.1,1,1,17.01100054,-1.17E-30,,,,,,,,
9.4,2,12,0.1,1,1,16.9464454,8.38E-28,,,,,,,,
9.7,2,11.9,0.1,1,1,17.09705611,1.56E-30,,,,,,,,
9.6,2,11.9,0.1,1,1,17.03159296,-3.45E-33,,,,,,,,
9.5,2,11.9,0.1,1,1,16.96621898,-4.17E-33,,,,,,,,
9.4,2,11.9,0.1,1,1,16.90097566,1.13E-26,,,,,,,,
9.7,2,11.8,0.1,1,1,17.05502479,-3.25E-24,,,,,,,,
9.6,2,11.8,0.1,1,1,16.98880381,-7.63E-31,,,,,,,,
9.5,2,11.8,0.1,1,1,16.92268901,6.76E-28,,,,,,,,
9.8,2,11.7,0.1,1,1,17.08139334,9.07E-28,,,,,,,,
9.7,2,11.7,0.1,1,1,17.01427145,1.12E-27,,,,,,,,
9.6,2,11.7,0.1,1,1,16.94726523,-3.07E-28,,,,,,,,
9.8,2,11.6,0.1,1,1,17.0427209,-2.78E-30,,,,,,,,
9.7,2,11.6,0.1,1,1,16.97478916,3.38E-27,,,,,,,,
9.6,2,11.6,0.1,1,1,16.90700178,-1.52E-30,,,,,,,,
9.9,2,11.5,0.1,1,1,17.07434612,1.08E-30,,,,,,,,
9.8,2,11.5,0.1,1,1,17.00548131,1.08E-27,,,,,,,,
9.7,2,11.5,0.1,1,1,16.93669439,1.01E-27,,,,,,,,
9.9,2,11.4,0.1,1,1,17.03924771,-2.35E-29,,,,,,,,
9.8,2,11.4,0.1,1,1,16.96959479,-1.73E-29,,,,,,,,
9.7,2,11.4,0.1,1,1,16.90001257,8.44E-28,,,,,,,,
10,2,11.3,0.1,1,1,17.07651066,4.01E-28,,,,,,,,
9.9,2,11.3,0.1,1,1,17.00578877,3.02E-33,,,,,,,,
9.8,2,11.3,0.1,1,1,16.93521246,1.48E-30,,,,,,,,
10,2,11.2,0.1,1,1,17.04539444,2.32E-29,,,,,,,,
9.9,2,11.2,0.1,1,1,16.97376023,-4.32E-30,,,,,,,,
9.8,2,11.2,0.1,1,1,16.90234625,9.71E-28,,,,,,,,
10,2,11.1,0.1,1,1,17.01588585,-5.05E-30,,,,,,,,
9.9,2,11.1,0.1,1,1,16.94336692,3.31E-27,,,,,,,,
10,2,11,0.1,1,1,16.98807622,-2.24E-28,,,,,,,,
9.9,2,11,0.1,1,1,16.91459762,-3.70E-28,,,,,,,,
10.1,2,10.9,0.1,1,1,17.03656691,3.84E-27,,,,,,,,
10,2,10.9,0.1,1,1,16.96196064,-9.50E-30,,,,,,,,
10.2,2,10.8,0.1,1,1,17.08889679,1.47E-27,,,,,,,,
10.1,2,10.8,0.1,1,1,17.01325774,-2.78E-30,,,,,,,,
10,2,10.8,0.1,1,1,16.93773035,2.88E-24,,,,,,,,
10.2,2,10.7,0.1,1,1,17.06851963,1.29E-30,,,,,,,,
10.1,2,10.7,0.1,1,1,16.99185634,3.10E-30,,,,,,,,
10,2,10.7,0.1,1,1,16.91529323,1.57E-30,,,,,,,,
10.2,2,10.6,0.1,1,1,17.05019266,-1.41E-28,,,,,,,,
10.1,2,10.6,0.1,1,1,16.9723811,-3.21E-30,,,,,,,,
10.2,2,10.5,0.1,1,1,17.03376325,-1.29E-27,,,,,,,,
10.1,2,10.5,0.1,1,1,16.95499635,-4.25E-28,,,,,,,,
10.3,2,10.4,0.1,1,1,17.09972335,-1.11E-30,,,,,,,,
10.2,2,10.4,0.1,1,1,17.01962056,-7.23E-31,,,,,,,,
10.1,2,10.4,0.1,1,1,16.93969004,1.10E-29,,,,,,,,
10.3,2,10.3,0.1,1,1,17.08894681,6.16E-30,,,,,,,,
10.2,2,10.3,0.1,1,1,17.00768749,2.79E-27,,,,,,,,
10.1,2,10.3,0.1,1,1,16.9265249,-1.36E-32,,,,,,,,
10.3,2,10.2,0.1,1,1,17.08040419,-2.48E-28,,,,,,,,
10.2,2,10.2,0.1,1,1,16.998018,-1.55E-31,,,,,,,,
10.1,2,10.2,0.1,1,1,16.9156606,3.04E-28,,,,,,,,
10.3,2,10.1,0.1,1,1,17.07437332,1.27E-27,,,,,,,,
10.2,2,10.1,0.1,1,1,16.99076724,1.96E-29,,,,,,,,
10.1,2,10.1,0.1,1,1,16.90725617,5.34E-28,,,,,,,,
10.3,2,10,0.1,1,1,17.07081928,-8.24E-33,,,,,,,,
10.2,2,10,0.1,1,1,16.98601774,-4.46E-31,,,,,,,,
10.1,2,10,0.1,1,1,16.90125072,7.87E-28,,,,,,,,
10.3,2,9.9,0.1,1,1,17.07004667,1.36E-27,,,,,,,,
10.2,2,9.9,0.1,1,1,16.98375293,9.01E-28,,,,,,,,
10.3,2,9.8,0.1,1,1,17.07180327,-2.11E-30,,,,,,,,
10.2,2,9.8,0.1,1,1,16.98440186,-8.18E-32,,,,,,,,
10.3,2,9.7,0.1,1,1,17.07652859,1.48E-27,,,,,,,,
10.2,2,9.7,0.1,1,1,16.98774987,9.33E-28,,,,,,,,
10.3,2,9.6,0.1,1,1,17.08436595,1.29E-27,,,,,,,,
10.2,2,9.6,0.1,1,1,16.9940498,9.97E-28,,,,,,,,
10.1,2,9.6,0.1,1,1,16.90395918,-2.00E-28,,,,,,,,
10.3,2,9.5,0.1,1,1,17.09515211,1.16E-27,,,,,,,,
10.2,2,9.5,0.1,1,1,17.00341368,-9.84E-29,,,,,,,,
10.1,2,9.5,0.1,1,1,16.91186242,6.54E-30,,,,,,,,
10.2,2,9.4,0.1,1,1,17.01584662,2.24E-30,,,,,,,,
10.1,2,9.4,0.1,1,1,16.92296181,1.70E-30,,,,,,,,
10.2,2,9.3,0.1,1,1,17.03176245,3.03E-28,,,,,,,,
10.1,2,9.3,0.1,1,1,16.93716742,-3.50E-31,,,,,,,,
10.2,2,9.2,0.1,1,1,17.0512012,-2.37E-30,,,,,,,,
10.1,2,9.2,0.1,1,1,16.95504145,8.96E-28,,,,,,,,
10.2,2,9.1,0.1,1,1,17.07420899,-1.25E-33,,,,,,,,
10.1,2,9.1,0.1,1,1,16.9764327,-4.69E-31,,,,,,,,
10.1,2,9,0.1,1,1,17.00151445,9.17E-28,,,,,,,,
10,2,9,0.1,1,1,16.90218031,-7.44E-30,,,,,,,,
10,2,8.9,0.1,1,1,16.92951953,-8.90E-31,,,,,,,,
10,2,8.8,0.1,1,1,16.96067817,9.75E-28,,,,,,,,
10,2,8.7,0.1,1,1,16.99633547,1.62E-29,,,,,,,,
10,2,8.6,0.1,1,1,17.03626741,-5.79E-33,,,,,,,,
9.9,2,8.6,0.1,1,1,16.92994492,-1.74E-33,,,,,,,,
10,2,8.5,0.1,1,1,17.08086366,3.16E-29,,,,,,,,
9.9,2,8.5,0.1,1,1,16.9725329,1.15E-29,,,,,,,,
9.9,2,8.4,0.1,1,1,17.01982093,1.07E-27,,,,,,,,
9.8,2,8.4,0.1,1,1,16.90971775,7.86E-28,,,,,,,,
9.9,2,8.3,0.1,1,1,17.0723077,-2.46E-30,,,,,,,,
9.8,2,8.3,0.1,1,1,16.96012309,9.20E-28,,,,,,,,
9.8,2,8.2,0.1,1,1,17.01551403,-5.90E-30,,,,,,,,
9.7,2,8.2,0.1,1,1,16.90148722,5.34E-28,,,,,,,,
9.8,2,8.1,0.1,1,1,17.07657663,3.53E-29,,,,,,,,
